,Player,Draft_Year,Pick_Number,Weighted Griddy AV
180,Thomas Davis,2005,14,48
181,Malcolm Jenkins,2009,14,130
182,Earl Thomas,2010,14,36
183,Robert Quinn,2011,14,198
184,Michael Brockers,2012,14,170
185,Star Lotulelei,2013,14,94
186,Kyle Fuller,2014,14,140
187,DeVante Parker,2015,14,154
188,Karl Joseph,2016,14,36
189,Derek Barnett,2017,14,112
190,Marcus Davenport,2018,14,130
191,Chris Lindstrom,2019,14,212
192,Javon Kinlaw,2020,14,88
193,Alijah Vera-Tucker,2021,14,60
194,Kyle Hamilton,2022,14,20
195,Derrick Johnson,2005,15,2
196,Jason Pierre-Paul,2010,15,218
197,Mike Pouncey,2011,15,30
198,Bruce Irvin,2012,15,82
199,Kenny Vaccaro,2013,15,60
200,Melvin Gordon,2015,15,168
201,Corey Coleman,2016,15,2
202,Malik Hooker,2017,15,82
203,Kolton Miller,2018,15,232
204,Dwayne Haskins,2019,15,18
205,Jerry Jeudy,2020,15,138
206,Mac Jones,2021,15,192
207,Kenyon Green,2022,15,50
208,Dominique Rodgers-Cromartie,2008,16,2
209,Derrick Morgan,2010,16,12
210,Ryan Kerrigan,2011,16,70
211,Zack Martin,2014,16,364
212,Kevin Johnson,2015,16,20
213,Taylor Decker,2016,16,218
214,Marlon Humphrey,2017,16,292
215,Tremaine Edmunds,2018,16,276
216,Brian Burns,2019,16,242
217,AJ Terrell,2020,16,150
218,Zaven Collins,2021,16,84
219,Jahan Dotson,2022,16,40
220,Sebastian Janikowski,2000,17,6
221,Mike Iupati,2010,17,64
222,Nate Solder,2011,17,96
223,Dre Kirkpatrick,2012,17,58
224,C.J. Mosley,2014,17,216
225,Arik Armstead,2015,17,202
226,Keanu Neal,2016,17,98
227,Jonathan Allen,2017,17,298
228,Derwin James,2018,17,148
229,Dexter Lawrence,2019,17,246
230,CeeDee Lamb,2020,17,274
231,Alex Leatherwood,2021,17,64
232,Zion Johnson,2022,17,80
233,Leon Hall,2007,18,2
234,Joe Flacco,2008,18,64
235,Maurkice Pouncey,2010,18,90
236,Corey Liuget,2011,18,14
237,Melvin Ingram,2012,18,148
238,Eric Reid,2013,18,28
239,Marcus Peters,2015,18,174
240,Ryan Kelly,2016,18,232
241,Adoree' Jackson,2017,18,102
242,Jaire Alexander,2018,18,198
243,Garrett Bradbury,2019,18,164
244,Austin Jackson,2020,18,102
245,Jaelan Phillips,2021,18,110
246,Treylon Burks,2022,18,40
247,Prince Amukamara,2011,19,40
248,Justin Pugh,2013,19,160
249,Ja'Wuan James,2014,19,16
250,Cameron Erving,2015,19,96
251,Shaq Lawson,2016,19,120
252,O.J. Howard,2017,19,48
253,Leighton Vander Esch,2018,19,206
254,Jeffery Simmons,2019,19,310
255,Damon Arnette,2020,19,12
256,Jamin Davis,2021,19,112
257,Trevor Penning,2022,19,10
258,Aqib Talib,2008,20,14
259,Kareem Jackson,2010,20,180
260,Adrian Clayborn,2011,20,24
261,Kyle Long,2013,20,12
262,Brandin Cooks,2014,20,214
263,Nelson Agholor,2015,20,142
264,Darron Lee,2016,20,22
265,Garett Bolles,2017,20,174
266,Frank Ragnow,2018,20,208
267,Noah Fant,2019,20,134
268,K'Lavon Chaisson,2020,20,54
269,Kadarius Toney,2021,20,44
270,Kenny Pickett,2022,20,70
271,Reggie Nelson,2007,21,6
272,Alex Mack,2009,21,164
273,Jermaine Gresham,2010,21,2
274,Chandler Jones,2012,21,224
275,Tyler Eifert,2013,21,34
276,Ha Ha Clinton-Dix,2014,21,44
277,Cedric Ogbuehi,2015,21,50
278,Will Fuller,2016,21,74
279,Jarrad Davis,2017,21,64
280,Billy Price,2018,21,122
281,Darnell Savage Jr.,2019,21,136
282,Jalen Reagor,2020,21,58
283,Kwity Paye,2021,21,116
284,Trent McDuffie,2022,21,30
285,Demaryius Thomas,2010,22,22
286,Anthony Castonzo,2011,22,86
287,Desmond Trufant,2013,22,34
288,Bud Dupree,2015,22,168
289,Josh Doctson,2016,22,8
290,Charles Harris,2017,22,90
291,Rashaan Evans,2018,22,206
292,Andre Dillard,2019,22,46
293,Justin Jefferson,2020,22,332
294,Caleb Farley,2021,22,10
295,Quay Walker,2022,22,70
296,Bryan Bulaga,2010,23,82
297,Riley Reiff,2012,23,198
298,Dee Ford,2014,23,32
299,Shane Ray,2015,23,2
300,Laquon Treadwell,2016,23,36
301,Evan Engram,2017,23,150
302,Isaiah Wynn,2018,23,142
303,Tytus Howard,2019,23,172
304,Kenneth Murray,2020,23,134
305,Christian Darrisaw,2021,23,110
306,Kaiir Elam,2022,23,30
307,Aaron Rodgers,2005,24,440
308,Johnathan Joseph,2006,24,38
309,Dez Bryant,2010,24,6
310,Cameron Jordan,2011,24,372
311,David DeCastro,2012,24,92
312,Darqueze Dennard,2014,24,26
313,D.J. Humphries,2015,24,220
314,William Jackson III,2016,24,96
315,Gareon Conley,2017,24,26
316,D.J. Moore,2018,24,260
317,Josh Jacobs,2019,24,286
318,Cesar Ruiz,2020,24,138
319,Najee Harris,2021,24,140
320,Tyler Smith,2022,24,80
321,Vontae Davis,2009,25,0
322,James Carpenter,2011,25,82
323,Dont'a Hightower,2012,25,148
324,Xavier Rhodes,2013,25,108
325,Jason Verrett,2014,25,30
326,Shaq Thompson,2015,25,198
327,Artie Burns,2016,25,26
328,Jabrill Peppers,2017,25,102
329,Hayden Hurst,2018,25,108
330,Marquise Brown,2019,25,210
331,Brandon Aiyuk,2020,25,202
332,Travis Etienne,2021,25,110
333,Tyler Linderbaum,2022,25,70
334,Duane Brown,2008,26,242
335,Clay Matthews,2009,26,34
336,Whitney Mercilus,2012,26,76
337,Breshad Perriman,2015,26,66
338,Takkarist McKinley,2017,26,60
339,Calvin Ridley,2018,26,124
340,Montez Sweat,2019,26,206
341,Jordan Love,2020,26,26
342,Greg Newsome II,2021,26,64
343,Jermaine Johnson II,2022,26,10
344,Devin McCourty,2010,27,200
345,Jimmy Smith,2011,27,36
346,Kevin Zeitler,2012,27,180
347,DeAndre Hopkins,2013,27,250
348,Deone Bucannon,2014,27,24
349,Byron Jones,2015,27,118
350,Kenny Clark,2016,27,252
351,Tre'Davious White,2017,27,208
352,Rashaad Penny,2018,27,80
353,Johnathan Abram,2019,27,92
354,Jordyn Brooks,2020,27,152
355,Rashod Bateman,2021,27,62
356,Devin Lloyd,2022,27,80
357,Marcedes Lewis,2006,28,36
358,Joe Staley,2007,28,30
359,Mark Ingram,2011,28,140
360,Nick Perry,2012,28,8
361,Sylvester Williams,2013,28,6
362,Kelvin Benjamin,2014,28,4
363,Laken Tomlinson,2015,28,218
364,Joshua Garnett,2016,28,0
365,Taco Charlton,2017,28,30
366,Terrell Edmunds,2018,28,164
367,Jerry Tillery,2019,28,122
368,Patrick Queen,2020,28,216
369,Harrison Smith,2012,29,200
370,Cordarrelle Patterson,2013,29,176
371,Dominique Easley,2014,29,2
372,Phillip Dorsett,2015,29,46
373,Robert Nkemdiche,2016,29,16
374,David Njoku,2017,29,114
375,Taven Bryan,2018,29,112
376,L.J. Collier,2019,29,58
377,Eric Stokes,2021,29,52
378,Cole Strange,2022,29,70
379,Muhammad Wilkerson,2011,30,2
380,Alec Ogletree,2013,30,92
381,Jimmie Ward,2014,30,128
382,Damarious Randall,2015,30,34
383,Vernon Butler,2016,30,60
384,T.J. Watt,2017,30,386
385,Mike Hughes,2018,30,62
386,Deandre Baker,2019,30,28
387,Noah Igbinoghene,2020,30,30
388,Gregory Rousseau,2021,30,150
389,George Karlaftis III,2022,30,70
390,Greg Olsen,2007,31,34
391,Jerry Hughes,2010,31,264
392,Cameron Heyward,2011,31,418
393,Doug Martin,2012,31,10
394,Travis Frederick,2013,31,44
395,Bradley Roby,2014,31,94
396,Stephone Anthony,2015,31,6
397,Germain Ifedi,2016,31,118
398,Reuben Foster,2017,31,6
399,Sony Michel,2018,31,116
400,Kaleb McGary,2019,31,210
401,Jeff Gladney,2020,31,30
402,Odafe Oweh,2021,31,64
403,Daxton Hill,2022,31,20
404,Drew Brees,2001,32,136
405,Ben Watson,2004,32,12
406,Patrick Robinson,2010,32,16
407,Teddy Bridgewater,2014,32,198
408,Malcom Brown,2015,32,140
409,Emmanuel Ogbah,2016,32,150
410,Ryan Ramczyk,2017,32,296
411,Lamar Jackson,2018,32,432
412,N'Keal Harry,2019,32,48
413,Clyde Edwards-Helaire,2020,32,118
414,Joe Tryon-Shoyinka,2021,32,112
415,Rodger Saffold,2010,33,296
416,Johnathan Cyprien,2013,33,0
417,Xavier Su'a-Filo,2014,33,30
418,Landon Collins,2015,33,100
419,Kevin King,2017,33,68
420,Austin Corbett,2018,33,186
421,Byron Murphy,2019,33,140
422,Tee Higgins,2020,33,222
423,Tyson Campbell,2021,33,110
424,Logan Hall,2022,33,20
425,Patrick Chung,2009,34,34
426,DeMarcus Lawrence,2014,34,262
427,Donovan Smith,2015,34,240
428,Jaylon Smith,2016,34,180
429,Cam Robinson,2017,34,178
430,Will Hernandez,2018,34,166
431,Rock Ya-Sin,2019,34,92
432,Michael Pittman Jr.,2020,34,196
433,Elijah Moore,2021,34,62
434,Christian Watson,2022,34,70
435,Andy Dalton,2011,35,180
436,Zach Ertz,2013,35,158
437,Joel Bitonio,2014,35,370
438,Mario Edwards,2015,35,60
439,Hunter Henry,2016,35,138
440,Malik McDowell,2017,35,48
441,Nick Chubb,2018,35,314
442,Jawaan Taylor,2019,35,198
443,D'Andre Swift,2020,35,172
444,Javonte Williams,2021,35,64
445,Roger McCreary,2022,35,60
446,Jordy Nelson,2008,36,12
447,Derek Wolfe,2012,36,74
448,Darius Slay,2013,36,228
449,Derek Carr,2014,36,366
450,T.J. Yeldon,2015,36,14
451,Myles Jack,2016,36,184
452,Budda Baker,2017,36,276
453,Shaquille Leonard,2018,36,298
454,Deebo Samuel,2019,36,250
455,Xavier McKinney,2020,36,98
456,Jevon Holland,2021,36,108
457,Breece Hall,2022,36,40
458,Eric Weddle,2007,37,46
459,Jabaal Sheard,2011,37,50
460,Mitchell Schwartz,2012,37,116
461,Giovani Bernard,2013,37,52
462,Devin Smith,2015,37,4
463,Chris Jones,2016,37,390
464,Zay Jones,2017,37,142
465,Braden Smith,2018,37,202
466,Greg Little,2019,37,66
467,Kyle Dugger,2020,37,126
468,Landon Dickerson,2021,37,148
469,Jalen Pitre,2022,37,70
470,Andre Branch,2012,38,4
471,Manti Te'o,2013,38,6
472,Austin Seferian-Jenkins,2014,38,2
473,Preston Smith,2015,38,230
474,Xavien Howard,2016,38,306
475,Forrest Lamp,2017,38,46
476,Ronald Jones II,2018,38,110
477,Cody Ford,2019,38,100
478,Yetur Gross-Matos,2020,38,124
479,Christian Barmore,2021,38,44
480,Arnold Ebiketie,2022,38,20
481,Jackrabbit Jenkins,2012,39,98
482,Geno Smith,2013,39,166
483,Eddie Goldman,2015,39,78
484,Noah Spence,2016,39,2
485,Marcus Maye,2017,39,120
486,James Daniels,2018,39,164
487,Sean Murphy-Bunting,2019,39,100
488,Robert Hunt,2020,39,158
489,Teven Jenkins,2021,39,58
490,Kyler Gordon,2022,39,40
491,Bruce Carter,2011,40,2
492,Amini Silatolu,2012,40,2
493,Tank Carradine,2013,40,0
494,Kyle Van Noy,2014,40,246
