"","Pick","ADP.WAV.S","ADP_WAV","griddyav","wav2022","wav2021","wav2020","wav2019","wav2018","drafted_2022","drafted_2021","drafted_2020","drafted_2019"
"173",173,0.65,6.5,19.5,6.5,5.2,3.9,2.6,1.3,13,7.8,3.9,1.3
"174",174,0.63,6.3,18.9,6.3,5.04,3.78,2.52,1.26,12.6,7.56,3.78,1.26
"175",175,0.57,5.7,17.1,5.7,4.56,3.42,2.28,1.14,11.4,6.84,3.42,1.14
"176",176,0.57,5.7,17.1,5.7,4.56,3.42,2.28,1.14,11.4,6.84,3.42,1.14
"177",177,0.57,5.7,17.1,5.7,4.56,3.42,2.28,1.14,11.4,6.84,3.42,1.14
"178",178,0.54,5.4,16.2,5.4,4.32,3.24,2.16,1.08,10.8,6.48,3.24,1.08
"179",179,0.51,5.1,15.3,5.1,4.08,3.06,2.04,1.02,10.2,6.12,3.06,1.02
"180",180,0.51,5.1,15.3,5.1,4.08,3.06,2.04,1.02,10.2,6.12,3.06,1.02
"181",181,0.48,4.8,14.4,4.8,3.84,2.88,1.92,0.96,9.6,5.76,2.88,0.96
"182",182,0.48,4.8,14.4,4.8,3.84,2.88,1.92,0.96,9.6,5.76,2.88,0.96
"183",183,0.48,4.8,14.4,4.8,3.84,2.88,1.92,0.96,9.6,5.76,2.88,0.96
"184",184,0.48,4.8,14.4,4.8,3.84,2.88,1.92,0.96,9.6,5.76,2.88,0.96
"185",185,0.45,4.5,13.5,4.5,3.6,2.7,1.8,0.9,9,5.4,2.7,0.9
"186",186,0.45,4.5,13.5,4.5,3.6,2.7,1.8,0.9,9,5.4,2.7,0.9
"187",187,0.43,4.3,12.9,4.3,3.44,2.58,1.72,0.86,8.6,5.16,2.58,0.86
"188",188,0.4,4,12,4,3.2,2.4,1.6,0.8,8,4.8,2.4,0.8
"189",189,0.29,2.9,8.7,2.9,2.32,1.74,1.16,0.58,5.8,3.48,1.74,0.58
"190",190,0.29,2.9,8.7,2.9,2.32,1.74,1.16,0.58,5.8,3.48,1.74,0.58
"191",191,0.29,2.9,8.7,2.9,2.32,1.74,1.16,0.58,5.8,3.48,1.74,0.58
"192",192,0.28,2.8,8.4,2.8,2.24,1.68,1.12,0.56,5.6,3.36,1.68,0.56
"193",193,0.28,2.8,8.4,2.8,2.24,1.68,1.12,0.56,5.6,3.36,1.68,0.56
"194",194,0.28,2.8,8.4,2.8,2.24,1.68,1.12,0.56,5.6,3.36,1.68,0.56
"195",195,0.28,2.8,8.4,2.8,2.24,1.68,1.12,0.56,5.6,3.36,1.68,0.56
"196",196,0.28,2.8,8.4,2.8,2.24,1.68,1.12,0.56,5.6,3.36,1.68,0.56
"197",197,0.28,2.8,8.4,2.8,2.24,1.68,1.12,0.56,5.6,3.36,1.68,0.56
"198",198,0.26,2.6,7.8,2.6,2.08,1.56,1.04,0.52,5.2,3.12,1.56,0.52
"199",199,0.23,2.3,6.9,2.3,1.84,1.38,0.92,0.46,4.6,2.76,1.38,0.46
"200",200,0.21,2.1,6.3,2.1,1.68,1.26,0.84,0.42,4.2,2.52,1.26,0.42
